# protools/abhack/attrTabCompletion.txt is a list of ABL attribute and methods to use on TAB in Seb's AppBuilder Hack
# lines that begins with '#' are ignored
# This file is reloaded each time you recheck its corresponding toggle-box





NEW                         BUFFER
NEW-ROW                     BROWSE
NEXT-COLUMN                 BROWSE-COLUMN
NEXT-SIBLING                FILL-IN,BUFFER,PROCEDURE,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU-ITEM,SUB-MENU
NEXT-TAB-ITEM               FILL-IN,BROWSE,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX
NO-EMPTY-SPACE              BROWSE
NO-FOCUS                    BUTTON
NUM-BUFFERS                 QUERY
NUM-BUTTONS                 RADIO-SET
NUM-COLUMNS                 BROWSE
NUM-DROPPED-FILES           FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
NUM-ENTRIES                 BROWSE,COLOR-TABLE,FONT-TABLE
NUM-FIELDS                  BUFFER
NUM-ITEMS                   SELECTION-LIST,COMBO-BOX
NUM-ITERATIONS              FRAME,BROWSE
NUM-LINES                   EDITOR
NUM-LOCKED-COLUMNS          BROWSE
NUM-MESSAGES                ERROR-STATUS
NUM-PARAMETERS              CALL
NUM-RESULTS                 QUERY
NUM-SELECTED-ROWS           BROWSE
NUM-VISIBLE-COLUMNS         BROWSE
NUMERIC-DECIMAL-POINT       SESSION
NUMERIC-FORMAT              SESSION
NUMERIC-SEPARATOR           SESSION
ON-FRAME-BORDER             LAST-EVENT
OWNER                       MENU
PARAMETER                   SESSION
PARENT                      FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU-ITEM,SUB-MENU
PATHNAME                    FILE-INFO
PERSISTENT                  PROCEDURE,CALL
PFCOLOR                     FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
PIXELS-PER-COLUMN           FRAME,DIALOG-BOX,SESSION
PIXELS-PER-ROW              FRAME,DIALOG-BOX,SESSION
POPUP-MENU                  FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TOGGLE-BOX,DIALOG-BOX
POPUP-ONLY                  MENU
POSITION                    BUFFER-FIELD
PREPARE-STRING              QUERY
PREPARED                    TEMP-TABLE
PREV-COLUMN                 BROWSE-COLUMN
