NAMESPACE-PREFIX            BUFFER,TEMP-TABLE,X-DOCUMENT,X-NODEREF,DATASET
NAMESPACE-URI               BUFFER,TEMP-TABLE,X-DOCUMENT,X-NODEREF,DATASET
NEW                         BUFFER
NEW-ROW                     BROWSE
NEXT-COLUMN                 BROWSE-COLUMN
NEXT-SIBLING                FILL-IN,BUFFER,PROCEDURE,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU-ITEM,SUB-MENU,QUERY,DATA-SOURCE,DATASET
NEXT-TAB-ITEM               FILL-IN,FRAME,BROWSE,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX
NO-EMPTY-SPACE              BROWSE
NO-FOCUS                    BUTTON
NONAMESPACE-SCHEMA-LOCATION X-DOCUMENT,SAX-READER
NUM-BUFFERS                 QUERY,DATASET
NUM-BUTTONS                 RADIO-SET
NUM-CHILD-RELATIONS         BUFFER
NUM-COLUMNS                 BROWSE
